Date,Open,High,Low,Close,Adj Close,Volume
2023-01-09,16031.224609,16171.895508,16031.224609,16022.666016,16022.666016,17353356453
2023-01-10,16019.307617,16285.391602,16004.180664,16246.458984,16246.458984,14721152054
2023-01-11,16246.521484,16659.367188,16120.833008,16659.367188,16659.367188,17065646959
2023-01-12,16829.070313,17534.818359,16727.800781,17375.474609,17375.474609,32202273140
2023-01-13,17374.847656,18406.226563,17274.234375,18355.751953,18355.751953,26944191476
2023-01-14,18356.638672,19435.728516,18354.142578,19344.574219,19344.574219,35936519640
2023-01-15,19345.666016,19360.666016,19003.990234,19293.441406,19293.441406,17831342602
2023-01-16,19294.757813,19744.132813,19136.066406,19544.503906,19544.503906,24735714659
2023-01-17,19550.228516,19730.427734,19381.396484,19613.130859,19613.130859,23170734580
2023-01-18,19612.697266,19814.521484,18990.412109,19160.003906,19160.003906,27788389733
2023-01-19,19158.119141,19531.640625,19156.855469,19464.439453,19464.439453,19525411574
2023-01-20,19463.126953,20863.353516,19292.685547,20848.822266,20848.822266,26477942481
2023-01-21,20849.626953,21404.371094,20697.378906,20940.359375,20940.359375,29825451809
2023-01-22,20940.691406,21196.951172,20597.898438,20912.847656,20912.847656,22777637981
2023-01-23,20913.466797,21279.791016,20856.548828,21096.007813,21096.007813,24392961479
2023-01-24,21091.587891,21263.072266,20715.773438,20786.662109,20786.662109,24247300228
2023-01-25,20789.232422,21735.681641,20572.832031,21168.353516,21168.353516,28097700420
2023-01-26,21160.199219,21293.226563,21082.175781,21143.859375,21143.859375,24196232919
2023-01-27,21141.968750,21539.572266,20805.501953,21228.644531,21228.644531,23348505923
2023-01-28,21229.781250,21304.910156,21070.457031,21182.890625,21182.890625,13532245302
2023-01-29,21183.220703,22008.570313,21140.564453,21867.869141,21867.869141,25224334965
2023-01-30,21867.945313,21884.201172,20880.775391,21050.042969,21050.042969,25073357016
2023-01-31,21050.648438,21380.955078,20969.888672,21305.564453,21305.564453,21027999257
2023-02-01,21304.230469,21628.203125,20978.027344,21541.990234,21541.990234,24229303228
2023-02-02,21539.314453,21932.177734,21521.570313,21524.574219,21524.574219,29406567597
2023-02-03,21522.320313,21859.978516,21548.533203,21701.173828,21701.173828,25064023436
2023-02-04,21698.398438,21789.000000,21555.392578,21580.792969,21580.792969,14465569183
2023-02-05,21581.162109,21635.337891,21170.566406,21276.367188,21276.367188,18133058539
2023-02-06,21274.843750,21532.833984,21155.503906,21213.240234,21213.240234,22205763797
